LABEL,IDSTUDY,IDAUTHOR,COUNTRY,COUNTRYA,ESTIMATE,SE,TSTAT,PRECISION,PCC,PCCSE,N,K,DF,REGRESSION,SIMULATION,RESIDENT,LIGHT,USA,PUBYEAR,DSTYEAR,PERIOD,HOUR,DAY,MONTH,DID,LOG,MAIN,CITATIONS,JOURNAL,IMPACT,WEIGHT,LATITUDE,DAYLIGHT,EUROPE,REFERENCE
Belzer et al. (2008),7,5,USA,USA,-0.1,0.3,-0.3333333333333333,3.333333333333333,-0.008176147523626075,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.4,0.4,-1,2.5,-0.024521886354905213,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.4,0.1,-4,10,-0.0976481485018548,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.7000000000000001,0.2,-3.5,5,-0.08553776343912399,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.58,0.16,-3.6249999999999996,6.25,-0.0885691293158124,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.7000000000000001,0.3,-2.3333333333333335,3.333333333333333,-0.05714142921994335,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.5,0.2,-2.5,5,-0.061208176587469874,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.2,0.4,-0.5,2.5,-0.012263708907743235,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.4,0.3,-1.3333333333333333,3.333333333333333,-0.03268820530192543,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.3,0.3,-1,3.333333333333333,-0.024521886354905213,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
